"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-parameters",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-parameters","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-parameters","nl",,,,"Dataset codelijst parameters","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-parameters",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst parameters","omg_conceptscheme:parameters","Codelijst parameters",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-parameters.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-parameters.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-parameters.0.1.0","nl",,"omg_dataset:codelijst-parameters",,"Dataset codelijst parameters","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-parameters.0.1.0","2023-07-27","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst parameters","omg_conceptscheme:parameters","Codelijst parameters (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-parameters.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-parameters.0.1.0.parameters_csv|omg_distribution:codelijst-parameters.0.1.0.parameters_jsonld|omg_distribution:codelijst-parameters.0.1.0.parameters_rdf|omg_distribution:codelijst-parameters.0.1.0.parameters_ttl|omg_distribution:codelijst-parameters.0.1.0.parameters_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-parameters.0.1.0.parameters_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters_csv",,,,,,"Codelijst parameters, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-parameters.0.1.0.parameters_csv","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in text/csv formaat.",,"Codelijst parameters, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.0.parameters_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-parameters.0.1.0.parameters_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters_jsonld",,,,,,"Codelijst parameters, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-parameters.0.1.0.parameters_jsonld","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in jsonld rdf-formaat.",,"Codelijst parameters, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.0.parameters_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-parameters.0.1.0.parameters_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters_rdf",,,,,,"Codelijst parameters, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-parameters.0.1.0.parameters_rdf","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in xml rdf-formaat.",,"Codelijst parameters, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.0.parameters_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-parameters.0.1.0.parameters_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters_ttl",,,,,,"Codelijst parameters, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-parameters.0.1.0.parameters_ttl","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in Turtle rdf-formaat.",,"Codelijst parameters, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.0.parameters_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-parameters.0.1.0.parameters_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters_xsd",,,,,,"Codelijst parameters, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-parameters.0.1.0.parameters_xsd","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in xml/xsd formaat.",,"Codelijst parameters, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.0.parameters_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.0.parameters.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.0",,,,,,"Codelijst parameters, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.0","2023-07-27",,,,"ovo:OVO003751",,"Codelijst parameters in jar-formaat.",,"Package codelijst-parameters",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-parameters/0.1.0/codelijst-parameters-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-parameters/0.1.0/codelijst-parameters-0.1.0.jar","codelijst-parameters-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-parameters.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-parameters.0.1.1","nl",,"omg_dataset:codelijst-parameters",,"Dataset codelijst parameters","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-parameters.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst parameters","omg_conceptscheme:parameters","Codelijst parameters (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-parameters.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-parameters.0.1.1.parameters_csv|omg_distribution:codelijst-parameters.0.1.1.parameters_jsonld|omg_distribution:codelijst-parameters.0.1.1.parameters_rdf|omg_distribution:codelijst-parameters.0.1.1.parameters_ttl|omg_distribution:codelijst-parameters.0.1.1.parameters_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-parameters.0.1.1.parameters_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters_csv",,,,,,"Codelijst parameters, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-parameters.0.1.1.parameters_csv","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in text/csv formaat.",,"Codelijst parameters, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.1.parameters_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-parameters.0.1.1.parameters_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters_jsonld",,,,,,"Codelijst parameters, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-parameters.0.1.1.parameters_jsonld","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in jsonld rdf-formaat.",,"Codelijst parameters, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.1.parameters_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-parameters.0.1.1.parameters_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters_rdf",,,,,,"Codelijst parameters, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-parameters.0.1.1.parameters_rdf","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in xml rdf-formaat.",,"Codelijst parameters, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.1.parameters_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-parameters.0.1.1.parameters_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters_ttl",,,,,,"Codelijst parameters, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-parameters.0.1.1.parameters_ttl","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in Turtle rdf-formaat.",,"Codelijst parameters, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.1.parameters_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-parameters.0.1.1.parameters_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters_xsd",,,,,,"Codelijst parameters, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-parameters.0.1.1.parameters_xsd","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in xml/xsd formaat.",,"Codelijst parameters, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-parameters.0.1.1.parameters_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-parameters.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-parameters.0.1.1.parameters.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.1-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.1","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.1",,,,,,"Codelijst parameters, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters.0.1.1","2023-09-21",,,,"ovo:OVO003751",,"Codelijst parameters in jar-formaat.",,"Package codelijst-parameters",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-parameters/0.1.1/codelijst-parameters-0.1.1.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-parameters/0.1.1/codelijst-parameters-0.1.1.jar","codelijst-parameters-0.1.1.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-parameters","0.1.1"
